   data    |  godzina  | wartość temperatury
2021-03-27 | 17:38:49  | 23.75
2021-03-27 | 17:43:49  | 23.94
2021-03-27 | 17:48:49  | 24.06
2021-03-27 | 17:53:49  | 24.06
2021-03-27 | 17:58:49  | 24.13
2021-03-27 | 18:03:49  | 24.19
2021-03-27 | 18:08:49  | 24.25
2021-03-27 | 18:13:49  | 24.25
2021-03-27 | 18:18:49  | 24.31
2021-03-27 | 18:23:50  | 24.31
2021-03-27 | 18:28:50  | 24.38
2021-03-27 | 18:33:50  | 24.38
2021-03-27 | 18:38:50  | 24.31
2021-03-27 | 18:43:50  | 24.31
2021-03-27 | 18:48:50  | 24.31
2021-03-27 | 18:53:50  | 24.31
2021-03-27 | 18:58:50  | 24.31
2021-03-27 | 19:03:50  | 24.31
2021-03-27 | 19:08:50  | 24.31
2021-03-27 | 19:13:50  | 24.25
2021-03-27 | 19:18:50  | 24.31
2021-03-27 | 19:23:50  | 24.31
2021-03-27 | 19:28:50  | 24.31
2021-03-27 | 19:33:50  | 24.31
2021-03-27 | 19:38:51  | 24.31
2021-03-27 | 19:43:51  | 24.25
2021-03-27 | 19:48:51  | 24.25
2021-03-27 | 19:53:51  | 24.25
2021-03-27 | 19:58:51  | 24.31
2021-03-27 | 20:03:51  | 24.25
2021-03-27 | 20:08:51  | 24.25
2021-03-27 | 20:13:51  | 24.25
2021-03-27 | 20:18:51  | 24.25
2021-03-27 | 20:23:51  | 24.25
2021-03-27 | 20:28:51  | 24.25
2021-03-27 | 20:33:51  | 24.13
2021-03-27 | 20:38:51  | 24.06
2021-03-27 | 20:43:51  | 24
2021-03-27 | 20:48:51  | 23.94
2021-03-27 | 20:53:52  | 23.88
2021-03-27 | 20:58:52  | 23.88
2021-03-27 | 21:03:52  | 23.81
2021-03-27 | 21:08:52  | 23.75
2021-03-27 | 21:13:52  | 23.75
2021-03-27 | 21:18:52  | 23.69
2021-03-27 | 21:23:52  | 23.69
2021-03-27 | 21:28:52  | 23.63
2021-03-27 | 21:33:52  | 23.63
2021-03-27 | 21:38:52  | 23.56
2021-03-27 | 21:43:52  | 23.56
2021-03-27 | 21:48:52  | 23.56
2021-03-27 | 21:53:52  | 23.5
2021-03-27 | 21:58:52  | 23.5
2021-03-27 | 22:03:52  | 23.5
2021-03-27 | 22:08:52  | 23.44
2021-03-27 | 22:13:53  | 23.5
2021-03-27 | 22:18:53  | 23.5
2021-03-27 | 22:23:53  | 23.44
2021-03-27 | 22:28:53  | 23.44
2021-03-27 | 22:33:53  | 23.5
2021-03-27 | 22:38:53  | 23.5
2021-03-27 | 22:43:53  | 23.5
2021-03-27 | 22:48:53  | 23.56
2021-03-27 | 22:53:53  | 23.5
2021-03-27 | 22:58:53  | 23.5
2021-03-27 | 23:03:53  | 23.44
2021-03-27 | 23:08:53  | 23.44
2021-03-27 | 23:13:53  | 23.38
2021-03-27 | 23:18:53  | 23.38
2021-03-27 | 23:23:53  | 23.31
2021-03-27 | 23:28:54  | 23.31
2021-03-27 | 23:33:54  | 23.25
2021-03-27 | 23:38:54  | 23.19
2021-03-27 | 23:43:54  | 23.19
2021-03-27 | 23:48:54  | 23.13
2021-03-27 | 23:53:54  | 23.13
2021-03-27 | 23:58:54  | 23.06
